Make,Model,Year,Variant,Price,Location,Mileage
Toyota,Hilux,2014,Vigo Champ G,PKR 75 lacs,Karachi,"140,000 km"
Suzuki,Cultus,2018,VXL,PKR 26.5 lacs,Kabirwala,"75,000 km"
Suzuki,Wagon R,2021,Smile Hybrid G,PKR 33 lacs,Lahore,"48,000 km"
Suzuki,Swift,2019,DLX 1.3 Navigation,PKR 26.5 lacs,Multan,"101,500 km"
Suzuki,Mehran,2008,VXR,PKR 8.5 lacs,Lahore,"66,800 km"
Toyota,Roomy,2021,XS,PKR 35 lacs,Gujranwala,"29,000 km"
Toyota,Pixis Joy,2021,F G SA III,PKR 32.25 lacs,Sargodha,"15,500 km"
Toyota,Corolla,2020,GLi 1.3 VVTi,PKR 55 lacs,Mamu kunjan,"53,000 km"
Toyota,Corolla,2024,Altis Grande X CVT-i 1.8 Black Interior,PKR 81 lacs,Daska,"5,000 km"
Suzuki,Ravi,2017,Euro II,PKR 13 lacs,Faisalabad,"43,000 km"
Honda,Civic Reborn,2011,VTi Oriel Prosmatec 1.8 i-VTEC,PKR 26.3 lacs,Multan,"98,300 km"
Suzuki,Swift,2017,DLX 1.3 Navigation,PKR 26.25 lacs,Islamabad,"73,800 km"
Suzuki,Mehran,2018,VXR Euro II,PKR 13.7 lacs,Islamabad,"66,000 km"
Toyota,Corolla,2012,GLi 1.3 VVTi,PKR 27 lacs,Karachi,"155,156 km"
Suzuki,Mehran,2014,VXR Euro II,PKR 11.95 lacs,Rawalpindi,"65,000 km"
Mercedes,Benz E Class 4th (W212) Generation,2012,E250,PKR 1.09 crore,Faisalabad,"108,088 km"
KIA,Sportage,2021,FWD,PKR 72.5 lacs,Lahore,"20,000 km"
Toyota,Corolla,2019,GLi Automatic 1.3 VVTi,PKR 46.25 lacs,Lahore,"120,000 km"
Toyota,Hilux,2003,Tiger,PKR 32 lacs,Karachi,"150,000 km"
Toyota,Aqua,2013,S,PKR 32.9 lacs,Karachi,"120,000 km"
Toyota,Prado,2010,TX 2.7,PKR 1.54 crore,Peshawar,"92,000 km"
KIA,Sportage,2024,FWD,PKR 85 lacs,Lahore,"35,000 km"
Honda,Vezel,2019,Hybrid X Honda Sensing,PKR 68.5 lacs,Islamabad,"73,655 km"
FAW,V2,2018,VCT-i,PKR 17 lacs,Faisalabad,"111,743 km"
Honda,Civic,2016,1.8 i-VTEC CVT,PKR 44 lacs,Karachi,"63,951 km"
Honda,Vezel,2014,Hybrid Z,PKR 48 lacs,Faisalabad,"134,949 km"
BMW,5 Series 5th (E60) Generation,2007,520d,PKR 35 lacs,Faisalabad,"109,131 km"
Suzuki,Mehran,2005,VXR,PKR 5.75 lacs,Karachi,"100,000 km"
Toyota,Corolla 9th (E120) Generation,2003,2.0D,PKR 10 lacs,Burewala,"300,000 km"
Toyota,Corolla,2008,GLi 1.3,PKR 28 lacs,Sahiwal,"144,000 km"
Suzuki,Alto,2022,VXR,PKR 25.7 lacs,Peshawar,"52,000 km"
Daihatsu,Tanto,2021,,PKR 38.5 lacs,Lahore,"70,000 km"
Suzuki,Mehran,2006,VXR,PKR 6.5 lacs,Gujrat,"60,000 km"
Suzuki,Cultus,2017,EURO II,PKR 18 lacs,Talagang,"130,000 km"
Suzuki,Mehran,1997,VX,PKR 5.2 lacs,Swabi,"55,000 km"
Suzuki,Mehran,2006,VXR,PKR 8.6 lacs,Rawalpindi,"89,019 km"
Suzuki,Alto,2025,VXR Upgraded,PKR 32 lacs,Khushab,950 km
Honda,Civic,1999,EXi,PKR 15 lacs,Mardan,"275,000 km"
Suzuki,Alto,2010,VXR,PKR 11.8 lacs,Islamabad,"154,000 km"
Suzuki,Mehran,2019,VXR Euro II,PKR 15.8 lacs,Lahore,"95,000 km"
Hyundai,Tucson,2022,AWD A/T Ultimate,PKR 78.5 lacs,Sialkot,"32,000 km"
Nissan,Clipper,2017,,PKR 19.5 lacs,Karachi,"117,000 km"
Toyota,Yaris Sedan,2021,ATIV MT 1.3,PKR 35.5 lacs,Karachi,"91,000 km"
FAW,X-PV,2014,Dual AC,PKR 6.75 lacs,Lahore,"786,786 km"
Hyundai,Santro,2005,Club,PKR 10 lacs,Lahore,"155,000 km"
Suzuki,Cultus,2007,VXR,PKR 9.5 lacs,Rawalpindi,"110,000 km"
Suzuki,Swift,2025,GLX CVT,PKR 50.4 lacs,Islamabad,685 km
Suzuki,Cultus,2006,VXR,PKR 9.3 lacs,Faisalabad,"36,000 km"
Toyota,Corolla 9th (E120) Generation,2007,GLi 1.3,PKR 22.5 lacs,Islamabad,200 km
Suzuki,Mehran,2006,VXR,PKR 6.4 lacs,Islamabad,"140,000 km"
Toyota,Passo,2022,X,PKR 41.85 lacs,Karachi,"9,000 km"
Isuzu,D-Max,2019,V-Cross Automatic 3.0,PKR 79.5 lacs,Karachi,"54,000 km"
