Make,Model,Year,Variant,Price,Location,Mileage
Toyota,Yaris Hatchback,2022,X,4250000,Karachi,13871
Honda,Civic,2019,Oriel 1.8 i-VTEC CVT,5250000,Lahore,62000
Honda,City 5th (GM2) Generation,2019,Aspire Prosmatec 1.5 i-VTEC,4400000,Lahore,56000
Suzuki,Cultus,2015,EURO II,1600000,Lahore,79350
Suzuki,Cultus,2006,VXR,790000,Rawalpindi,100000
Suzuki,Mehran,2005,VX,550000,Rawalpindi,200000
Toyota,Yaris Hatchback,2023,X,4900000,Karachi,27000
Suzuki,Cultus,2016,Limited Edition,175000,Mansehra,40000
Suzuki,Cultus,2006,VXR,670000,Karachi,100000
Toyota,Corolla,2012,GLi 1.3 VVTi,3500000,Sargodha,92000
Suzuki,Bolan,1997,VX,484999,Lahore,55000
Toyota,Hilux,2022,,178000000,Karachi,11000
Toyota,Corolla,2019,Altis Automatic 1.6,4750000,Karachi,75524
Toyota,Corolla 9th (E120) Generation,2008,GLi 1.3,1875000,Sialkot,200000
Toyota,Fortuner,2020,TRD Sportivo,145000000,Lahore,125200
Suzuki,FX,2014,,360000,Pak pattan sharif,5000
Toyota,Aqua,2014,S,3660000,D.G.Khan,115000
Toyota,Corolla 8th (E110) Generation,1998,SE Limited,2300000,Attock,150000
Toyota,Passo,2010,Plus Hana C,2130000,Karachi,90000
Suzuki,Cultus,2007,VXR,1150000,Pir mahal,29000
Honda,Civic,2000,EXi,1550000,Lahore,20000
Daihatsu,Mira,2022,,3700000,Karachi,9201
Suzuki,Alto,2020,VXR,2140000,Lahore,89000
Honda,Civic,2017,1.8 i-VTEC CVT,4699000,Karachi,95700
