name,year,wins,losses,goals_for,goals_against,win_percentage
Colorado Avalanche,1998,44,28,239,205,0.6111111111111112
Dallas Stars,1998,51,19,236,168,0.7285714285714285
Detroit Red Wings,1998,43,32,245,202,0.5733333333333334
Edmonton Oilers,1998,33,37,230,226,0.4714285714285714
Florida Panthers,1998,30,34,210,228,0.46875
Los Angeles Kings,1998,32,45,189,222,0.4155844155844156
Montreal Canadiens,1998,32,39,184,209,0.4507042253521127
Nashville Predators,1998,28,47,190,261,0.37333333333333335
New Jersey Devils,1998,47,24,248,196,0.6619718309859155
New York Islanders,1998,24,48,194,244,0.3333333333333333
New York Rangers,1998,33,38,217,227,0.4647887323943662
Ottawa Senators,1998,44,23,239,179,0.6567164179104478
Philadelphia Flyers,1998,37,26,231,196,0.5873015873015873
Phoenix Coyotes,1998,39,31,205,197,0.5571428571428572
Pittsburgh Penguins,1998,38,30,242,225,0.5588235294117647
San Jose Sharks,1998,31,33,196,191,0.484375
St. Louis Blues,1998,37,32,237,209,0.5362318840579711
Tampa Bay Lightning,1998,19,54,179,292,0.2602739726027397
Toronto Maple Leafs,1998,45,30,268,231,0.6
Vancouver Canucks,1998,23,47,192,258,0.32857142857142857
Washington Capitals,1998,31,45,200,218,0.40789473684210525
Mighty Ducks of Anaheim,1999,34,33,217,227,0.5074626865671642
Atlanta Thrashers,1999,14,57,170,313,0.19718309859154928
Boston Bruins,1999,24,33,210,248,0.42105263157894735
Buffalo Sabres,1999,35,32,213,204,0.5223880597014925
Calgary Flames,1999,31,36,211,256,0.4626865671641791
Carolina Hurricanes,1999,37,35,217,216,0.5138888888888888
Chicago Blackhawks,1999,33,37,242,245,0.4714285714285714
Colorado Avalanche,1999,42,28,233,201,0.6
Dallas Stars,1999,43,23,211,184,0.6515151515151515
Detroit Red Wings,1999,48,22,278,210,0.6857142857142857
Edmonton Oilers,1999,32,26,226,212,0.5517241379310345
Florida Panthers,1999,43,27,244,209,0.6142857142857143
Los Angeles Kings,1999,39,27,245,228,0.5909090909090909
Montreal Canadiens,1999,35,34,196,194,0.5072463768115942
Nashville Predators,1999,28,40,199,240,0.4117647058823529
New Jersey Devils,1999,45,24,251,203,0.6521739130434783
New York Islanders,1999,24,48,194,275,0.3333333333333333
New York Rangers,1999,29,38,218,246,0.43283582089552236
Ottawa Senators,1999,41,28,244,210,0.5942028985507246
Philadelphia Flyers,1999,45,22,237,179,0.6716417910447762
Phoenix Coyotes,1999,39,31,232,228,0.5571428571428572
Pittsburgh Penguins,1999,37,31,241,236,0.5441176470588235
San Jose Sharks,1999,35,30,225,214,0.5384615384615384
St. Louis Blues,1999,51,19,248,165,0.7285714285714285
Tampa Bay Lightning,1999,19,47,204,310,0.2878787878787879
Toronto Maple Leafs,1999,45,27,246,222,0.625
Vancouver Canucks,1999,30,29,227,237,0.5084745762711864
Washington Capitals,1999,44,24,227,194,0.6470588235294118
Mighty Ducks of Anaheim,2000,25,41,188,245,0.3787878787878788
Atlanta Thrashers,2000,23,45,211,289,0.3382352941176471
Boston Bruins,2000,36,30,227,249,0.5454545454545454
Buffalo Sabres,2000,46,30,218,184,0.6052631578947368
Calgary Flames,2000,27,36,197,236,0.42857142857142855
Carolina Hurricanes,2000,38,32,212,225,0.5428571428571428
Columbus Blue Jackets,2000,28,39,190,233,0.417910447761194
Chicago Blackhawks,2000,29,40,210,246,0.42028985507246375
Colorado Avalanche,2000,52,16,270,192,0.7647058823529411
Dallas Stars,2000,48,24,241,187,0.6666666666666666
Detroit Red Wings,2000,49,20,253,202,0.7101449275362319
Edmonton Oilers,2000,39,28,243,222,0.582089552238806
Florida Panthers,2000,22,38,200,246,0.36666666666666664
Los Angeles Kings,2000,38,28,252,228,0.5757575757575758
Minnesota Wild,2000,25,39,168,210,0.390625
Montreal Canadiens,2000,28,40,206,232,0.4117647058823529
Nashville Predators,2000,34,36,186,200,0.4857142857142857
New Jersey Devils,2000,48,19,295,195,0.7164179104477612
New York Islanders,2000,21,51,185,268,0.2916666666666667
New York Rangers,2000,33,43,250,290,0.4342105263157895
Ottawa Senators,2000,48,21,274,205,0.6956521739130435
Philadelphia Flyers,2000,43,25,240,207,0.6323529411764706
Phoenix Coyotes,2000,35,27,214,212,0.5645161290322581
Pittsburgh Penguins,2000,42,28,281,256,0.6
San Jose Sharks,2000,40,27,217,192,0.5970149253731343
St. Louis Blues,2000,43,22,249,195,0.6615384615384615
Tampa Bay Lightning,2000,24,47,201,280,0.3380281690140845
Toronto Maple Leafs,2000,37,29,232,207,0.5606060606060606
Vancouver Canucks,2000,36,28,239,238,0.5625
Washington Capitals,2000,41,27,233,211,0.6029411764705882
Mighty Ducks of Anaheim,2001,29,42,175,198,0.4084507042253521
Atlanta Thrashers,2001,19,47,187,288,0.2878787878787879
Boston Bruins,2001,43,24,236,201,0.6417910447761194
Buffalo Sabres,2001,35,35,213,200,0.5
Calgary Flames,2001,32,35,201,220,0.47761194029850745
Carolina Hurricanes,2001,35,26,217,217,0.5737704918032787
